Species,Weight,Length,Height,Width,Days,Gender
Bream,242.0,30.0,11.52,2.14085609781724,44.95071777553685,0
Bream,290.0,31.2,12.48,3.3600024606052177,54.65417926653347,0
Bream,340.0,31.1,12.3778,4.201341124302099,25.64088664431453,0
Bream,363.0,33.5,12.73,4.256410278491851,98.5472053468517,0
Bream,430.0,34.0,12.444,3.3654654863566273,22.916052937286935,0
Bream,450.0,34.7,13.6024,5.389669407014306,81.49738779871065,0
Bream,500.0,34.5,14.1795,5.589522922770386,55.441417632694076,0
Bream,390.0,35.0,12.67,4.188867843653629,65.42153250980863,0
Bream,450.0,35.1,14.0049,2.992576770382249,39.20643644930603,0
Bream,500.0,36.2,14.2266,4.7330805255851045,10.198711859691622,0
Bream,475.0,36.2,14.2628,5.4464506570582625,55.23187628978218,0
Bream,500.0,36.2,14.3714,5.264859035553377,56.72424836157847,0
Bream,500.0,36.4,13.7592,4.600548292012247,37.283843179712136,0
Bream,340.0,37.3,13.9129,3.198733391719868,31.788011807131564,0
Bream,600.0,37.2,14.9544,4.073381082498569,80.82588985198232,0
Bream,600.0,37.2,15.438,5.842318922387708,84.59961535793212,0
Bream,700.0,38.3,14.8604,5.667701477155823,51.97418073923742,1
Bream,700.0,38.5,14.938,3.917508652558333,27.40663077266926,1
Bream,610.0,38.6,15.633,4.867824377695564,31.814739184961294,0
Bream,650.0,38.7,14.4738,5.040086139388283,91.30024665632715,0
Bream,575.0,39.5,15.1285,4.3709834769025075,27.65580308920552,0
Bream,685.0,39.2,15.9936,4.3315145173742735,23.76436573493475,1
Bream,620.0,39.7,15.5227,3.8656585243359682,14.598354513198604,0
Bream,680.0,40.6,15.4686,4.538425056279818,66.57853515440608,1
Bream,700.0,40.5,16.2405,4.4072316082560725,10.000600834461544,1
Bream,725.0,40.9,16.36,5.140653609638165,40.83073364223627,1
Bream,720.0,40.6,16.3618,6.3582822880422665,27.5719488738578,1
Bream,714.0,41.5,16.517,5.342936305206946,24.93819385066614,1
Bream,850.0,41.6,16.8896,5.119606355881167,21.16364775993754,1
Bream,1000.0,42.6,18.957,5.510710403269631,85.14662591915766,1
Bream,920.0,44.1,18.0369,4.927389544059752,28.61818916784957,1
Bream,955.0,44.0,18.084,5.260035941712348,27.20937541551824,1
Bream,925.0,45.3,18.7542,6.988872463402437,18.620955188598394,1
Bream,975.0,45.9,18.6354,6.838428114943067,58.44569709832991,1
Bream,950.0,46.5,17.6235,5.531531798869082,39.07113387760879,1
Roach,40.0,16.2,4.1472,0.6550397138275446,11.421984744751638,0
Roach,69.0,20.3,5.2983,0.9478018460802276,28.157699288517406,0
Roach,78.0,21.2,5.5756,3.089267329392784,28.4773821148093,0
Roach,87.0,22.2,5.6166,1.5343260454078207,54.594299879006854,0
Roach,120.0,22.2,6.216,2.6921128191702937,30.86195707907084,0
Roach,0.0,22.8,6.4752,2.552637940245539,48.157989246216374,0
Roach,110.0,23.1,6.1677,1.7544292168921984,65.0384572871387,0
Roach,120.0,23.7,6.1146,1.6724760614678795,19.4912755641329,0
